number,company,segment,tier,contact_name,title,linkedin_url,confidence,notes
1,First Citizens Bank,bank,P2,Gregory L. Smith,Chief Information and Operations Officer (owns cyber/CISO),,needs_verify,CISO Marco Maiurano departed Nov 2025; find ECSO successor
2,Citizens Bank,bank,P2,Brendan Goode,Chief Security Officer,https://linkedin.com/in/brendan-goode-5a21137,verified,
3,Huntington Bank,bank,P1,Navpreet Jatana,EVP and Chief Information Security Officer,https://linkedin.com/in/jatana,verified,
4,Fifth Third Bank,bank,P1,Brian Minick,EVP Chief Technology and Information Security Officer,https://linkedin.com/in/brian-minick-8137432a,verified,
5,M&T Bank,bank,P1,Tim Byrd,EVP and Chief Information Security Officer,https://linkedin.com/in/timbyrd,verified,
6,Ally Bank,bank,P1,Spencer Cremers,CISO and Interim Chief Information and Data Officer,https://linkedin.com/in/spencer-cremers-bb35245,verified,
7,KeyBank,bank,P1,Brian Akers,EVP Enterprise Security Executive and CISO,https://linkedin.com/in/brian-a-b04272,verified,
8,Regions Bank,bank,P1,Ivana Cojbasic,Chief Information Security Officer,,verified,
9,Santander US,bank,P2,Alberto Hernandez Moreno,CISO Santander US,https://linkedin.com/in/alberto-hernandez-moreno-62238867,verified,
10,City National Bank,bank,P2,TBD,Chief Information Security Officer,,needs_verify,Preston Wood departed Jul 2025
11,Western Alliance,bank,P2,Stephen McMaster,Chief Information Security Officer,https://linkedin.com/in/stephen-mcmaster-b7568116,verified,
12,Zions Bancorporation,bank,P1,David Stirling,EVP and Chief Information Security Officer,https://linkedin.com/in/dstirling,verified,
13,Flagstar Bank,bank,P3,Zahira Gonzalvo,SVP Chief Information Security and Privacy Officer,https://linkedin.com/in/zahgonzalvo,verified,
14,Webster Bank,bank,P1,Patricia Voight,Executive MD CISO and Head of Technology Risk,https://linkedin.com/in/patriciavoight,verified,
15,First Horizon,bank,P1,Leilani Farol,SVP Chief Information Security Officer,https://linkedin.com/in/leilani-farol-b210328,verified,
16,Comerica,bank,P1,Juan C. Rodriguez,EVP Chief Information Security Officer,,verified,
17,East West Bank,bank,P1,Matt Fearin,Global Chief Information Security Officer,https://linkedin.com/in/matt-fearin,verified,
18,UMB Bank,bank,P1,Justin Rainey,SVP CISO and Chief Privacy Officer,https://linkedin.com/in/justinrainey,verified,
19,Old National Bank,bank,P1,Kevin Novak,Chief Information Security Officer,https://linkedin.com/in/kevin-novak-6a52032,verified,
